id,user_id,pickup_point_id,created_at,status,total
1,24,12,2025-01-01 10:09:00+03,created,186250.00
2,47,23,2025-01-01 10:18:00+03,paid,122995.00
3,70,34,2025-01-01 10:27:00+03,shipped,12815.00
4,93,45,2025-01-01 10:36:00+03,ready,78635.00
5,116,56,2025-01-01 10:45:00+03,completed,306360.00
6,139,67,2025-01-01 10:54:00+03,cancelled,58470.00
7,162,78,2025-01-01 11:03:00+03,created,223345.00
8,185,89,2025-01-01 11:12:00+03,paid,305400.00
9,208,100,2025-01-01 11:21:00+03,shipped,53950.00
10,231,111,2025-01-01 11:30:00+03,ready,37930.00
11,254,2,2025-01-01 11:39:00+03,completed,209965.00
12,277,13,2025-01-01 11:48:00+03,cancelled,123630.00
13,300,24,2025-01-01 11:57:00+03,created,75165.00
14,323,35,2025-01-01 12:06:00+03,paid,229180.00
15,346,46,2025-01-01 12:15:00+03,shipped,22660.00
16,369,57,2025-01-01 12:24:00+03,ready,54975.00
17,392,68,2025-01-01 12:33:00+03,completed,80995.00
18,415,79,2025-01-01 12:42:00+03,cancelled,96615.00
19,438,90,2025-01-01 12:51:00+03,created,129810.00
20,461,101,2025-01-01 13:00:00+03,paid,167660.00
21,484,112,2025-01-01 13:09:00+03,shipped,73170.00
22,507,3,2025-01-01 13:18:00+03,ready,77495.00
23,530,14,2025-01-01 13:27:00+03,completed,102825.00
24,553,25,2025-01-01 13:36:00+03,cancelled,41725.00
25,576,36,2025-01-01 13:45:00+03,created,168530.00
26,599,47,2025-01-01 13:54:00+03,paid,265290.00
27,622,58,2025-01-01 14:03:00+03,shipped,127755.00
28,645,69,2025-01-01 14:12:00+03,ready,74165.00
29,668,80,2025-01-01 14:21:00+03,completed,77805.00
30,691,91,2025-01-01 14:30:00+03,cancelled,21910.00
31,714,102,2025-01-01 14:39:00+03,created,151475.00
32,737,113,2025-01-01 14:48:00+03,paid,238520.00
33,760,4,2025-01-01 14:57:00+03,shipped,35990.00
34,783,15,2025-01-01 15:06:00+03,ready,305460.00
35,806,26,2025-01-01 15:15:00+03,completed,146485.00
36,829,37,2025-01-01 15:24:00+03,cancelled,19970.00
37,852,48,2025-01-01 15:33:00+03,created,60795.00
38,875,59,2025-01-01 15:42:00+03,paid,126725.00
39,898,70,2025-01-01 15:51:00+03,shipped,41625.00
40,921,81,2025-01-01 16:00:00+03,ready,79730.00
41,944,92,2025-01-01 16:09:00+03,completed,290390.00
42,967,103,2025-01-01 16:18:00+03,cancelled,41830.00
43,990,114,2025-01-01 16:27:00+03,created,26515.00
44,1013,5,2025-01-01 16:36:00+03,paid,86880.00
45,1036,16,2025-01-01 16:45:00+03,shipped,61810.00
46,1059,27,2025-01-01 16:54:00+03,ready,105825.00
47,1082,38,2025-01-01 17:03:00+03,completed,299920.00
48,1105,49,2025-01-01 17:12:00+03,cancelled,25390.00
49,1128,60,2025-01-01 17:21:00+03,created,92810.00
50,1151,71,2025-01-01 17:30:00+03,paid,64235.00
51,1174,82,2025-01-01 17:39:00+03,shipped,73545.00
52,1197,93,2025-01-01 17:48:00+03,ready,193070.00
53,1220,104,2025-01-01 17:57:00+03,completed,99900.00
54,1243,115,2025-01-01 18:06:00+03,cancelled,175550.00
55,1266,6,2025-01-01 18:15:00+03,created,45505.00
56,1289,17,2025-01-01 18:24:00+03,paid,92290.00
57,1312,28,2025-01-01 18:33:00+03,shipped,30705.00
58,1335,39,2025-01-01 18:42:00+03,ready,156490.00
59,1358,50,2025-01-01 18:51:00+03,completed,195105.00
60,1381,61,2025-01-01 19:00:00+03,cancelled,33185.00
61,1404,72,2025-01-01 19:09:00+03,created,189825.00
62,1427,83,2025-01-01 19:18:00+03,paid,119695.00
63,1450,94,2025-01-01 19:27:00+03,shipped,12815.00
64,1473,105,2025-01-01 19:36:00+03,ready,79185.00
65,1496,116,2025-01-01 19:45:00+03,completed,303060.00
66,1519,7,2025-01-01 19:54:00+03,cancelled,56820.00
67,1542,18,2025-01-01 20:03:00+03,created,220870.00
68,1565,29,2025-01-01 20:12:00+03,paid,308700.00
69,1588,40,2025-01-01 20:21:00+03,shipped,52300.00
70,1611,51,2025-01-01 20:30:00+03,ready,41505.00
71,1634,62,2025-01-01 20:39:00+03,completed,214090.00
72,1657,73,2025-01-01 20:48:00+03,cancelled,121980.00
