id,category_id,name,description,price
1,1,Smartphone 0001,Smartphone generation 1 for category Smartphones,25355.00
2,2,Laptop 0001,Laptop generation 1 for category Laptops,70445.00
3,3,Tablet 0001,Tablet generation 1 for category Tablets,30535.00
4,4,Headphones 0001,Headphones generation 1 for category Headphones,9625.00
5,5,Smart Device 0001,Smart Device generation 1 for category Smart Home,4765.00
6,6,Gaming Gear 0001,Gaming Gear generation 1 for category Gaming,7355.00
7,7,Monitor 0001,Monitor generation 1 for category Monitors,22445.00
8,8,Storage 0001,Storage generation 1 for category Storage,6035.00
9,9,Accessory 0001,Accessory generation 1 for category Accessories,2125.00
10,10,Router 0001,Router generation 1 for category Networking,5265.00
11,11,Appliance 0001,Appliance generation 1 for category Kitchen Appliances,8355.00
12,12,Office Device 0001,Office Device generation 1 for category Office Equipment,13445.00
13,13,Wearable 0001,Wearable generation 1 for category Wearables,11535.00
14,14,Camera 0001,Camera generation 1 for category Cameras,46625.00
15,15,Book 0001,Book generation 1 for category Books,1165.00
16,16,TV 0001,TV generation 1 for category TVs,55355.00
17,17,Speaker 0001,Speaker generation 1 for category Audio,10445.00
18,18,Printer 0001,Printer generation 1 for category Printers,18535.00
19,19,Component 0001,Component generation 1 for category Components,15625.00
20,20,Charger 0001,Charger generation 1 for category Charging,2265.00
21,1,Smartphone 0002,Smartphone generation 2 for category Smartphones,25630.00
22,2,Laptop 0002,Laptop generation 2 for category Laptops,70720.00
23,3,Tablet 0002,Tablet generation 2 for category Tablets,30810.00
24,4,Headphones 0002,Headphones generation 2 for category Headphones,9900.00
25,5,Smart Device 0002,Smart Device generation 2 for category Smart Home,5040.00
26,6,Gaming Gear 0002,Gaming Gear generation 2 for category Gaming,7630.00
27,7,Monitor 0002,Monitor generation 2 for category Monitors,22720.00
28,8,Storage 0002,Storage generation 2 for category Storage,6310.00
29,9,Accessory 0002,Accessory generation 2 for category Accessories,2400.00
30,10,Router 0002,Router generation 2 for category Networking,5540.00
31,11,Appliance 0002,Appliance generation 2 for category Kitchen Appliances,8630.00
32,12,Office Device 0002,Office Device generation 2 for category Office Equipment,13720.00
33,13,Wearable 0002,Wearable generation 2 for category Wearables,11810.00
34,14,Camera 0002,Camera generation 2 for category Cameras,46900.00
35,15,Book 0002,Book generation 2 for category Books,1440.00
36,16,TV 0002,TV generation 2 for category TVs,55630.00
37,17,Speaker 0002,Speaker generation 2 for category Audio,10720.00
38,18,Printer 0002,Printer generation 2 for category Printers,18810.00
39,19,Component 0002,Component generation 2 for category Components,15900.00
40,20,Charger 0002,Charger generation 2 for category Charging,2540.00
41,1,Smartphone 0003,Smartphone generation 3 for category Smartphones,25905.00
42,2,Laptop 0003,Laptop generation 3 for category Laptops,70995.00
43,3,Tablet 0003,Tablet generation 3 for category Tablets,31085.00
44,4,Headphones 0003,Headphones generation 3 for category Headphones,10175.00
45,5,Smart Device 0003,Smart Device generation 3 for category Smart Home,5315.00
46,6,Gaming Gear 0003,Gaming Gear generation 3 for category Gaming,7905.00
47,7,Monitor 0003,Monitor generation 3 for category Monitors,22995.00
48,8,Storage 0003,Storage generation 3 for category Storage,6585.00
49,9,Accessory 0003,Accessory generation 3 for category Accessories,2675.00
50,10,Router 0003,Router generation 3 for category Networking,5815.00
51,11,Appliance 0003,Appliance generation 3 for category Kitchen Appliances,8905.00
52,12,Office Device 0003,Office Device generation 3 for category Office Equipment,13995.00
53,13,Wearable 0003,Wearable generation 3 for category Wearables,12085.00
54,14,Camera 0003,Camera generation 3 for category Cameras,47175.00
55,15,Book 0003,Book generation 3 for category Books,1715.00
56,16,TV 0003,TV generation 3 for category TVs,55905.00
57,17,Speaker 0003,Speaker generation 3 for category Audio,10995.00
58,18,Printer 0003,Printer generation 3 for category Printers,19085.00
59,19,Component 0003,Component generation 3 for category Components,16175.00
60,20,Charger 0003,Charger generation 3 for category Charging,2815.00
61,1,Smartphone 0004,Smartphone generation 4 for category Smartphones,26180.00
62,2,Laptop 0004,Laptop generation 4 for category Laptops,71270.00
63,3,Tablet 0004,Tablet generation 4 for category Tablets,31360.00
64,4,Headphones 0004,Headphones generation 4 for category Headphones,10450.00
65,5,Smart Device 0004,Smart Device generation 4 for category Smart Home,5590.00
66,6,Gaming Gear 0004,Gaming Gear generation 4 for category Gaming,8180.00
67,7,Monitor 0004,Monitor generation 4 for category Monitors,23270.00
68,8,Storage 0004,Storage generation 4 for category Storage,6860.00
69,9,Accessory 0004,Accessory generation 4 for category Accessories,2950.00
70,10,Router 0004,Router generation 4 for category Networking,6090.00
71,11,Appliance 0004,Appliance generation 4 for category Kitchen Appliances,9180.00
72,12,Office Device 0004,Office Device generation 4 for category Office Equipment,14270.00
73,13,Wearable 0004,Wearable generation 4 for category Wearables,12360.00
74,14,Camera 0004,Camera generation 4 for category Cameras,47450.00
75,15,Book 0004,Book generation 4 for category Books,1990.00
76,16,TV 0004,TV generation 4 for category TVs,56180.00
77,17,Speaker 0004,Speaker generation 4 for category Audio,11270.00
78,18,Printer 0004,Printer generation 4 for category Printers,19360.00
79,19,Component 0004,Component generation 4 for category Components,16450.00
80,20,Charger 0004,Charger generation 4 for category Charging,3090.00
81,1,Smartphone 0005,Smartphone generation 5 for category Smartphones,26455.00
82,2,Laptop 0005,Laptop generation 5 for category Laptops,71545.00
83,3,Tablet 0005,Tablet generation 5 for category Tablets,31635.00
84,4,Headphones 0005,Headphones generation 5 for category Headphones,10725.00
85,5,Smart Device 0005,Smart Device generation 5 for category Smart Home,5865.00
86,6,Gaming Gear 0005,Gaming Gear generation 5 for category Gaming,8455.00
87,7,Monitor 0005,Monitor generation 5 for category Monitors,23545.00
88,8,Storage 0005,Storage generation 5 for category Storage,7135.00
89,9,Accessory 0005,Accessory generation 5 for category Accessories,3225.00
90,10,Router 0005,Router generation 5 for category Networking,6365.00
91,11,Appliance 0005,Appliance generation 5 for category Kitchen Appliances,9455.00
92,12,Office Device 0005,Office Device generation 5 for category Office Equipment,14545.00
93,13,Wearable 0005,Wearable generation 5 for category Wearables,12635.00
94,14,Camera 0005,Camera generation 5 for category Cameras,47725.00
95,15,Book 0005,Book generation 5 for category Books,2265.00
96,16,TV 0005,TV generation 5 for category TVs,56455.00
97,17,Speaker 0005,Speaker generation 5 for category Audio,11545.00
98,18,Printer 0005,Printer generation 5 for category Printers,19635.00
99,19,Component 0005,Component generation 5 for category Components,16725.00
100,20,Charger 0005,Charger generation 5 for category Charging,3365.00
101,1,Smartphone 0006,Smartphone generation 6 for category Smartphones,26730.00
102,2,Laptop 0006,Laptop generation 6 for category Laptops,71820.00
103,3,Tablet 0006,Tablet generation 6 for category Tablets,31910.00
104,4,Headphones 0006,Headphones generation 6 for category Headphones,11000.00
105,5,Smart Device 0006,Smart Device generation 6 for category Smart Home,6140.00
106,6,Gaming Gear 0006,Gaming Gear generation 6 for category Gaming,8730.00
107,7,Monitor 0006,Monitor generation 6 for category Monitors,23820.00
108,8,Storage 0006,Storage generation 6 for category Storage,7410.00
